classnum blue green red nir swir1 swir2 BUI BSI NBI EVI NDWI MSAVI sdev edev bcdev
111.0000 597.0878 876.5902 1253.1919 2694.8699 3773.5740 2454.0098 -0.2003 0.2076 1.8680 0.2292 -0.5096 0.2184 0.0017 0.0476 0.0425
111.0000 594.6972 934.1649 1006.4138 3538.1874 2831.2129 1621.5637 -0.6683 -0.0375 1.0878 0.4193 -0.5821 0.3823 0.0347 0.1728 0.1545
111.0000 678.0549 1011.5495 1234.8709 3332.4918 3272.5000 2077.5934 -0.4687 0.0580 1.3548 0.3356 -0.5343 0.3092 0.0239 0.1541 0.1287
111.0000 816.4233 1223.8608 1683.7812 3670.6903 3801.3580 2438.7585 -0.3534 0.1000 1.4962 0.2816 -0.4997 0.2718 0.0084 0.1385 0.1054
111.0000 666.0604 951.9348 1240.4855 2954.1908 3443.1039 2164.7802 -0.3324 0.1277 1.5882 0.2783 -0.5124 0.2571 0.0101 0.1447 0.1207
112.0000 624.2168 935.3192 1302.1596 2712.7159 3112.8349 1891.2408 -0.2831 0.1389 1.6281 0.2227 -0.4872 0.2121 0.0011 0.0676 0.0653
112.0000 698.6355 1008.1766 1317.4969 2637.4887 3129.7623 2208.2957 -0.2490 0.1423 1.6880 0.2157 -0.4469 0.1988 0.0076 0.0817 0.0721
112.0000 521.6269 802.0493 937.3090 2697.1248 2102.3610 1193.4345 -0.6081 -0.0297 1.1327 0.3054 -0.5409 0.2794 0.0065 0.0627 0.0773
112.0000 548.8679 849.9025 1099.6578 2630.7783 2658.0224 1553.8296 -0.4062 0.0826 1.4323 0.2536 -0.5115 0.2379 0.0020 0.0606 0.0659
112.0000 544.2788 824.7165 1084.6733 2572.3433 2582.9208 1536.5692 -0.4062 0.0802 1.4273 0.2482 -0.5145 0.2322 0.0018 0.0630 0.0714
111.0000 521.8747 730.5968 1051.8909 2255.6513 3187.7877 2013.0426 -0.1930 0.2083 1.8811 0.2054 -0.5108 0.1911 0.0022 0.0510 0.0583
112.0000 576.8116 836.9776 1114.8153 2604.5037 3161.0522 1921.7276 -0.3044 0.1466 1.6430 0.2489 -0.5137 0.2310 0.0008 0.0447 0.0442
111.0000 653.2319 1064.6522 1676.3391 3202.8000 3696.3739 2536.4754 -0.2417 0.1643 1.6794 0.2081 -0.5013 0.2141 0.0012 0.0635 0.0536
111.0000 494.3528 872.8580 804.0898 4219.3361 2543.7056 1390.5365 -0.9061 -0.1626 0.8347 0.5566 -0.6507 0.5092 0.0017 0.0482 0.0435
112.0000 555.1190 815.1895 1071.8066 2746.3070 2780.2435 1630.6797 -0.4322 0.0769 1.4047 0.2789 -0.5420 0.2597 0.0025 0.0723 0.0721
111.0000 407.7097 690.0302 721.4819 3079.8165 2424.7520 1385.1754 -0.7337 -0.0506 1.0379 0.4104 -0.6315 0.3821 0.0028 0.0391 0.0454
111.0000 347.3247 611.1694 599.6870 3079.3833 2114.1772 1095.8626 -0.8579 -0.1173 0.8913 0.4407 -0.6673 0.4125 0.0052 0.0526 0.0646
111.0000 325.7098 665.7678 543.9103 3667.3720 1997.6174 946.4960 -1.0354 -0.2221 0.6955 0.5389 -0.6923 0.5110 0.0050 0.0547 0.0685
111.0000 324.8545 618.3168 524.3425 3592.3131 1981.0184 958.1971 -1.0329 -0.2204 0.7028 0.5363 -0.7054 0.5064 0.0035 0.0492 0.0596
111.0000 864.6690 1302.3012 1915.8284 3338.1856 4387.9615 2933.4483 -0.1355 0.1997 1.8885 0.1939 -0.4389 0.1929 0.0009 0.0551 0.0412
111.0000 587.6873 906.9851 1406.2022 2503.0037 3166.5074 2345.2481 -0.1636 0.1934 1.8272 0.1659 -0.4680 0.1641 0.0013 0.0380 0.0341
112.0000 547.5016 784.9807 1000.4277 2608.4116 3086.8794 1865.7572 -0.3622 0.1280 1.5693 0.2773 -0.5372 0.2537 0.0029 0.0811 0.0817
112.0000 622.6634 943.2639 1293.2117 2750.9793 3092.8892 1903.4152 -0.3031 0.1297 1.5950 0.2302 -0.4894 0.2191 0.0013 0.0569 0.0552
111.0000 782.0340 1261.8439 1907.3725 3152.7604 3578.8114 2786.2504 -0.1833 0.1647 1.7409 0.1663 -0.4287 0.1706 0.0009 0.0475 0.0362
112.0000 531.6194 813.1940 1052.1234 2608.6556 2324.7971 1399.7817 -0.4837 0.0356 1.2956 0.2608 -0.5245 0.2436 0.0066 0.0794 0.0901
112.0000 623.5351 914.6859 1251.0298 2483.0144 2909.6340 2060.8136 -0.2501 0.1451 1.6809 0.2010 -0.4609 0.1882 0.0014 0.0603 0.0602
112.0000 521.1485 740.0939 1001.0511 2305.0114 2898.5894 1795.8602 -0.2792 0.1599 1.6984 0.2262 -0.5133 0.2080 0.0016 0.0412 0.0423
112.0000 549.0339 845.7156 1066.6870 2731.1754 2536.2153 1498.8146 -0.4774 0.0451 1.3211 0.2776 -0.5271 0.2588 0.0040 0.0666 0.0732
112.0000 513.6757 779.8647 1022.0793 2843.7131 2763.6128 1555.8834 -0.4858 0.0596 1.3329 0.3011 -0.5694 0.2835 0.0016 0.0521 0.0539
111.0000 461.9825 635.4158 932.2606 1935.7993 3263.3927 2011.8063 -0.0942 0.2729 2.1709 0.1783 -0.5056 0.1640 0.0022 0.0546 0.0643
111.0000 512.5061 760.7881 956.8459 2599.5342 2904.8879 1754.0473 -0.4071 0.1061 1.4939 0.2836 -0.5466 0.2611 0.0035 0.0568 0.0625
112.0000 496.3570 709.1912 947.5096 2079.6823 2268.3400 1725.6022 -0.3296 0.1104 1.5513 0.2016 -0.4907 0.1838 0.0011 0.0468 0.0571
112.0000 391.0400 593.0719 597.0311 2696.0684 1902.4361 957.2185 -0.8114 -0.1075 0.9313 0.3934 -0.6389 0.3547 0.0023 0.0417 0.0595
111.0000 637.4955 989.6391 1423.2044 2665.0800 3230.0152 2254.3902 -0.2083 0.1698 1.7484 0.1892 -0.4585 0.1841 0.0037 0.0615 0.0552
112.0000 494.5878 710.6689 856.0518 2550.3649 2631.5428 1506.0180 -0.4831 0.0666 1.3697 0.3032 -0.5641 0.2743 0.0027 0.0644 0.0765
112.0000 402.1097 602.0502 607.3346 2636.8662 1982.5669 1051.9275 -0.7684 -0.0828 0.9910 0.3826 -0.6273 0.3429 0.0044 0.0482 0.0634
112.0000 647.5157 950.2997 1290.2544 2310.9686 2995.2718 2408.0836 -0.1540 0.1831 1.8608 0.1677 -0.4167 0.1562 0.0011 0.0593 0.0603
111.0000 615.7482 931.4407 1101.9080 2954.3099 3285.0751 2125.3898 -0.4040 0.1023 1.4872 0.3101 -0.5206 0.2834 0.0109 0.0964 0.0846
112.0000 455.5553 710.7126 885.4382 2779.4620 2392.9794 1288.4664 -0.5915 0.0059 1.1837 0.3227 -0.5923 0.3022 0.0019 0.0429 0.0524
112.0000 680.3699 980.3598 1310.9278 2399.6789 2946.9756 2188.8587 -0.1906 0.1604 1.7793 0.1795 -0.4194 0.1657 0.0008 0.0569 0.0598
112.0000 624.1310 947.8242 1277.9955 2591.8096 2903.3583 1977.3091 -0.2832 0.1301 1.6164 0.2108 -0.4643 0.1992 0.0011 0.0644 0.0660
112.0000 618.5764 913.9774 1327.4311 2556.0752 3487.5388 2226.1128 -0.1627 0.2053 1.8839 0.1935 -0.4736 0.1854 0.0063 0.0834 0.0587
112.0000 548.9004 813.7731 1039.1273 2601.5330 3058.6122 1799.4118 -0.3499 0.1299 1.5758 0.2656 -0.5236 0.2452 0.0015 0.0765 0.0791
111.0000 726.2357 1032.8723 1439.1489 2613.7013 3815.5991 2566.0511 -0.1033 0.2228 2.0105 0.1859 -0.4339 0.1742 0.0015 0.0633 0.0540
