,blue,green,red,nir,swir1,swir2,sdev,edev,bcdev,NDVI,MNDWI,BAI,BUI,BSI,TCG,TCW,TCB,NDMI,LAI,EVI,AWEI_sh,BAEI,NDSI,SAVI,NBR,pv_pc_10,pv_pc_50,pv_pc_90,bs_pc_10,bs_pc_50,bs_pc_90,npv_pc_10,npv_pc_50,npv_pc_90,qa,time,binary_class
2737,303.0,471.0,511.0,1656.0,1553.0,934.0,0.0028201942332088,340.8795166015625,0.0587822422385215,0.5285205802764841,-0.5321253276360853,73.58912186735992,-0.5620998158176234,0.0244588235657881,0.074490215,-0.10957451,0.17552748,0.0347043492699608,0.7119750722570439,0.2294016230671763,-0.3550625,1.7344798958090908,-0.5321253276360853,0.2391396224389033,0.2798434533165378,41.0,50.0,63.0,4.0,7.0,19.0,22.0,41.0,50.0,2.0,2010.0,0
2738,300.0,465.0,504.0,1725.0,1458.0,844.0,0.0061231199651956,419.8722229003906,0.0719447284936904,0.5450945886493621,-0.5144205558468798,66.31607567990557,-0.6314332962100502,-0.0159244264507422,0.08108779,-0.0971412099999999,0.17899679,0.084498480243161,0.7586141732283466,0.2422924746347005,-0.352475,1.8203407330924104,-0.5144205558468798,0.2515553712152634,0.3447251114413076,43.0,50.0,67.0,3.0,6.0,18.0,17.0,41.0,48.0,2.0,2010.0,0
2739,275.0,428.0,469.0,1488.0,1496.0,905.0,0.0025728619657456,300.37554931640625,0.0524839758872985,0.5239904988123515,-0.5543032786885247,93.35255151193792,-0.5279148489531955,0.04995004995005,0.0654216599999999,-0.1092390499999999,0.16126172,0.003257328990228,0.6369037299605252,0.2086522194473535,-0.3389999999999999,1.8028095733610825,-0.5543032786885247,0.2202132257599769,0.2512943050577458,39.0,46.0,60.0,4.0,7.0,20.0,27.0,44.0,53.0,2.0,2010.0,0
2740,260.0,372.0,374.0,1337.0,864.0,487.0,0.0168062131851911,632.5962524414062,0.1657587587833404,0.5479616306954436,-0.4155251141552512,107.31732445032064,-0.7320075673241214,-0.1042163882259347,0.06393976,-0.04775282,0.13532295,0.1902874132804757,0.6171400793143149,0.2031896294401091,-0.227925,2.750205423171734,-0.4155251141552512,0.2122812311406155,0.4402810304449648,40.0,48.0,71.0,5.0,9.0,22.0,12.0,40.0,51.0,2.0,2010.0,0
2741,261.5,416.0,447.0,1588.5,1227.0,690.0,0.0080658588558435,454.403564453125,0.0908736363053321,0.5632623248815153,-0.4930851349298196,78.66542569049187,-0.6999632888203453,-0.0567782802088157,0.076481145,-0.076788025,0.163317335,0.1354694047739058,0.7129428046529716,0.2296691002357577,-0.3154375,2.098643039591315,-0.4930851349298196,0.2402241086587436,0.4010937287790302,43.0,54.0,70.0,3.0,7.0,19.0,15.0,35.0,50.0,2.0,2010.0,0
2742,311.0,479.0,523.0,1590.0,1702.0,1063.0,0.0028149937279522,339.36114501953125,0.0519000999629497,0.5054151624548736,-0.5592515592515593,82.8167637693222,-0.4739518987430881,0.0751173708920187,0.06628731,-0.12821839,0.17527967,-0.0305461277383524,0.6596022514071294,0.2149259954138002,-0.369275,1.6161988034974688,-0.5592515592515593,0.2247372109320252,0.2009309542280838,37.0,46.0,59.0,4.0,7.0,20.0,26.0,44.0,55.0,2.0,2010.0,0
2743,209.0,326.0,321.0,1270.0,643.0,323.5,0.0073219900950789,283.8912353515625,0.1026870012283325,0.5841220698805838,-0.3231119140200891,110.87003070347194,-0.9222034400901328,-0.2163116427489507,0.066877,-0.025620285,0.12165451,0.3388404429681003,0.6144426940858034,0.2024440834952469,-0.1951999999999999,3.436950620475698,-0.3231119140200891,0.2139934529804963,0.5984888829716416,44.0,57.0,71.0,4.0,11.0,22.0,12.0,29.0,46.0,2.0,2010.0,0
2744,288.0,448.0,486.0,1565.0,1525.5,920.0,0.0036301747895777,373.4454956054688,0.0640004724264144,0.5305825530988341,-0.5444235913836339,83.88505236772598,-0.5509698887637673,0.0347564636576934,0.070026935,-0.10938937,0.16812693,0.020347868604878,0.67664548447726,0.2196366734320785,-0.34775,1.7630187922643676,-0.5444235913836339,0.2298441373479338,0.2671395368184948,40.0,49.0,64.0,4.0,6.0,19.0,21.0,42.0,52.0,2.0,2010.0,0
2745,269.0,406.0,432.0,1426.0,1160.0,665.5,0.0102163068950176,567.93359375,0.1216483265161514,0.5507124588966021,-0.4815748098988323,98.9847255359174,-0.6689932223510635,-0.0484673237136464,0.06671049,-0.07347152,0.14983149,0.1253447070126234,0.6384439875016797,0.2090779401607738,-0.2787625,2.1959480042648365,-0.4815748098988323,0.2186395944702602,0.3843504265078001,42.0,51.0,66.0,5.0,9.0,23.0,16.0,38.0,49.0,2.0,2010.0,0
2746,252.5,368.0,365.0,1334.0,980.0,539.5,0.0181832108646631,592.7918701171875,0.1613544225692749,0.5703946591043365,-0.4465718283582089,106.67137978752636,-0.7280705354937245,-0.0856404872444279,0.06478453,-0.058323135,0.13564794,0.1582566772890042,0.6287170060914655,0.2063894433641419,-0.2421124999999999,2.4797197640117994,-0.4465718283582089,0.2153357622212053,0.4285532487865978,39.0,47.0,70.0,4.0,8.0,19.0,17.0,39.5,53.0,2.0,2010.0,0
