# crop nbart_red nbart_nir NDVI SOS POS EOS Trough vSOS vPOS vEOS LOS AOS ROG ROS
1.000000 728.651367 2869.787354 0.595018 6.000000 118.000000 342.000000 0.454359 0.579543 0.771770 0.522769 336.000000 0.317411 0.001716 -0.001112
1.000000 931.208374 3026.624023 0.529435 6.000000 118.000000 214.000000 0.411898 0.539706 0.756642 0.479422 208.000000 0.344744 0.001937 -0.002888
1.000000 913.092224 2874.050781 0.517794 6.000000 118.000000 342.000000 0.395201 0.521209 0.731326 0.463035 336.000000 0.336125 0.001876 -0.001198
1.000000 817.604797 2462.269043 0.501441 6.000000 118.000000 342.000000 0.380696 0.498820 0.680206 0.433939 336.000000 0.299510 0.001620 -0.001099
1.000000 1028.184448 2619.448242 0.436246 6.000000 118.000000 262.000000 0.341814 0.443386 0.646987 0.398019 256.000000 0.305173 0.001818 -0.001729
1.000000 803.223267 2435.483643 0.503985 6.000000 118.000000 214.000000 0.398325 0.523356 0.737092 0.481627 208.000000 0.338767 0.001908 -0.002661
1.000000 781.995728 2419.995605 0.511557 6.000000 118.000000 230.000000 0.432827 0.582669 0.805623 0.507972 224.000000 0.372797 0.001991 -0.002658
1.000000 841.427063 2776.117676 0.534808 6.000000 118.000000 230.000000 0.390173 0.502644 0.691686 0.447860 224.000000 0.301513 0.001688 -0.002177
1.000000 700.989380 2458.992432 0.556333 6.000000 118.000000 342.000000 0.460725 0.585619 0.764517 0.531442 336.000000 0.303793 0.001597 -0.001041
1.000000 750.300354 2715.677490 0.567048 6.000000 118.000000 342.000000 0.428929 0.557599 0.736180 0.502075 336.000000 0.307251 0.001594 -0.001045
1.000000 826.558716 2710.988281 0.532694 6.000000 118.000000 342.000000 0.387447 0.515744 0.703162 0.468526 336.000000 0.315714 0.001673 -0.001047
1.000000 916.949463 2291.573242 0.428429 6.000000 118.000000 342.000000 0.356364 0.466320 0.682153 0.413487 336.000000 0.325789 0.001927 -0.001199
1.000000 977.782837 2354.255859 0.413102 6.000000 118.000000 214.000000 0.328253 0.465870 0.699600 0.397517 208.000000 0.371347 0.002087 -0.003147
1.000000 870.642273 2352.095703 0.459688 6.000000 118.000000 214.000000 0.389003 0.515431 0.722966 0.471940 208.000000 0.333963 0.001853 -0.002615
1.000000 754.200012 2342.976318 0.512976 6.000000 118.000000 214.000000 0.444011 0.583333 0.777778 0.527520 208.000000 0.333767 0.001736 -0.002607
1.000000 771.999695 2547.999756 0.534940 6.000000 118.000000 214.000000 0.476467 0.608623 0.810856 0.534940 208.000000 0.334389 0.001806 -0.002874
1.000000 724.808472 2381.124512 0.533275 6.000000 118.000000 342.000000 0.427027 0.543435 0.713999 0.483849 336.000000 0.286972 0.001523 -0.001027
1.000000 790.495605 2356.924805 0.497687 6.000000 118.000000 342.000000 0.387382 0.511826 0.694594 0.464435 336.000000 0.307212 0.001632 -0.001027
1.000000 699.265503 2397.527344 0.548394 6.000000 118.000000 342.000000 0.451565 0.579911 0.763912 0.524382 336.000000 0.312348 0.001643 -0.001069
1.000000 681.858398 2587.662109 0.582900 6.000000 118.000000 214.000000 0.498546 0.641689 0.822411 0.570674 208.000000 0.323866 0.001614 -0.002622
1.000000 762.142029 2668.627686 0.555702 6.000000 118.000000 246.000000 0.434975 0.536112 0.691455 0.489796 240.000000 0.256480 0.001387 -0.001575
1.000000 823.547058 2744.512207 0.538378 6.000000 118.000000 246.000000 0.410392 0.516393 0.678298 0.468543 240.000000 0.267906 0.001446 -0.001639
1.000000 745.799500 2672.264893 0.563613 6.000000 118.000000 230.000000 0.409968 0.531029 0.682597 0.481678 224.000000 0.272629 0.001353 -0.001794
1.000000 739.018616 2627.813965 0.561001 6.000000 118.000000 246.000000 0.423588 0.541911 0.714114 0.494243 240.000000 0.290526 0.001538 -0.001718
1.000000 638.338440 2440.856201 0.585386 6.000000 118.000000 214.000000 0.478747 0.615350 0.795606 0.570984 208.000000 0.316859 0.001609 -0.002340
1.000000 801.209106 2694.637939 0.541622 6.000000 118.000000 214.000000 0.442925 0.565913 0.745777 0.534806 208.000000 0.302852 0.001606 -0.002198
1.000000 805.434814 2548.440430 0.519699 6.000000 118.000000 342.000000 0.411895 0.515784 0.652803 0.469439 336.000000 0.240908 0.001223 -0.000819
1.000000 940.529297 2475.763428 0.449386 6.000000 118.000000 214.000000 0.361442 0.462596 0.633644 0.434617 208.000000 0.272201 0.001527 -0.002073
1.000000 921.619568 2676.070068 0.487660 6.000000 118.000000 342.000000 0.357315 0.476256 0.643034 0.434116 336.000000 0.285719 0.001489 -0.000933
1.000000 919.085754 2701.739502 0.492334 6.000000 118.000000 246.000000 0.358734 0.470672 0.632505 0.422824 240.000000 0.273771 0.001445 -0.001638
1.000000 824.243164 2651.602783 0.525731 6.000000 118.000000 230.000000 0.404396 0.512455 0.655809 0.468860 224.000000 0.251413 0.001280 -0.001669
1.000000 805.826416 2500.360352 0.512534 6.000000 118.000000 342.000000 0.430909 0.545653 0.709518 0.494084 336.000000 0.278609 0.001463 -0.000962
1.000000 718.371094 2299.136475 0.523865 6.000000 118.000000 230.000000 0.422905 0.544145 0.722813 0.484572 224.000000 0.299908 0.001595 -0.002127
1.000000 792.608765 2747.617920 0.552227 6.000000 118.000000 342.000000 0.421345 0.546491 0.731447 0.485149 336.000000 0.310102 0.001651 -0.001100
